request_id,session_id,task_type,processing_time,timestamp,success,error_message,timestamp_dt
0fcd58be-cf2c-4587-bb64-79338f6e78ad,1,study_plan,49.23112773895264,2025-04-20T18:11:39.022894,True,,2025-04-20 18:11:39.022894
c063d94c-5598-4310-a231-a6e95ea0f781,1,study_plan,37.60007286071777,2025-04-20T18:12:16.643833,True,,2025-04-20 18:12:16.643833
fallback-1745165536686,1,chat,18.034122943878174,2025-04-20T18:12:34.723533,True,,2025-04-20 18:12:34.723533
fallback-1745165536686,1,chat,24.852546215057373,2025-04-20T18:12:59.576572,True,,2025-04-20 18:12:59.576572
fallback-1745165579590,1,chat,13.145330905914307,2025-04-20T18:13:12.743755,True,,2025-04-20 18:13:12.743755
fallback-1745165579590,1,chat,3.4797627925872803,2025-04-20T18:13:16.224000,True,,2025-04-20 18:13:16.224000
fallback-1745165596239,1,chat,15.163254022598267,2025-04-20T18:13:31.404427,True,,2025-04-20 18:13:31.404427
fallback-1745165596239,1,chat,19.877883195877075,2025-04-20T18:13:51.282875,True,,2025-04-20 18:13:51.282875
fallback-1745165631287,1,chat,27.346679210662842,2025-04-20T18:14:18.636479,True,,2025-04-20 18:14:18.636479
fallback-1745165631287,1,chat,28.296560764312744,2025-04-20T18:14:46.933370,True,,2025-04-20 18:14:46.933370
fallback-1745165686942,1,chat,33.43330192565918,2025-04-20T18:15:20.378325,True,,2025-04-20 18:15:20.378325
fallback-1745165686942,1,chat,26.020262956619263,2025-04-20T18:15:46.398934,True,,2025-04-20 18:15:46.398934
fallback-1745165746424,1,chat,38.2613959312439,2025-04-20T18:16:24.687530,True,,2025-04-20 18:16:24.687530
fallback-1745165746424,1,chat,33.40569996833801,2025-04-20T18:16:58.093764,True,,2025-04-20 18:16:58.093764
fallback-1745165818112,1,chat,37.16437029838562,2025-04-20T18:17:35.281551,True,,2025-04-20 18:17:35.281551
fallback-1745165818112,1,chat,37.77611780166626,2025-04-20T18:18:13.058018,True,,2025-04-20 18:18:13.058018
fallback-1745165893071,1,chat,25.385380029678345,2025-04-20T18:18:38.459566,True,,2025-04-20 18:18:38.459566
fallback-1745165893071,1,chat,33.523452281951904,2025-04-20T18:19:11.983337,True,,2025-04-20 18:19:11.983337
fallback-1745165951987,1,chat,102.34569525718689,2025-04-20T18:20:54.336142,True,,2025-04-20 18:20:54.336142
fallback-1745165951987,1,chat,15.031217813491821,2025-04-20T18:21:09.367918,True,,2025-04-20 18:21:09.367918
fallback-1745166069390,1,chat,14.966922044754028,2025-04-20T18:21:24.360999,True,,2025-04-20 18:21:24.360999
fallback-1745166069390,1,chat,26.311617136001587,2025-04-20T18:21:50.673192,True,,2025-04-20 18:21:50.673192
fallback-1745166110688,1,chat,22.2847900390625,2025-04-20T18:22:12.974712,True,,2025-04-20 18:22:12.974712
fallback-1745166110688,1,chat,31.98278784751892,2025-04-20T18:22:44.958181,True,,2025-04-20 18:22:44.958181
fallback-1745166164969,1,chat,35.23116183280945,2025-04-20T18:23:20.202172,True,,2025-04-20 18:23:20.202172
fallback-1745166164969,1,chat,13.08438777923584,2025-04-20T18:23:33.287622,True,,2025-04-20 18:23:33.287622
fallback-1745166213293,1,chat,13.517127990722656,2025-04-20T18:23:46.816801,True,,2025-04-20 18:23:46.816801
fallback-1745166213293,1,chat,32.86150503158569,2025-04-20T18:24:19.678551,True,,2025-04-20 18:24:19.678551
fallback-1745166259696,1,chat,22.490305185317993,2025-04-20T18:24:42.187564,True,,2025-04-20 18:24:42.187564
fallback-1745166259696,1,chat,31.816269159317017,2025-04-20T18:25:14.004471,True,,2025-04-20 18:25:14.004471
fallback-1745166314009,1,chat,32.581648111343384,2025-04-20T18:25:46.593785,True,,2025-04-20 18:25:46.593785
fallback-1745166314009,1,chat,32.10399794578552,2025-04-20T18:26:18.698283,True,,2025-04-20 18:26:18.698283
a2a3aac5-32e7-46f1-92d7-3578f990c669,1,study_plan,42.39688992500305,2025-04-20T20:42:30.362494,True,,2025-04-20 20:42:30.362494
bcb676c5-1b8b-4690-b1ff-8c455d6b8a6b,1,study_plan,35.64844989776611,2025-04-20T20:43:06.055254,True,,2025-04-20 20:43:06.055254
96a4098e-6e50-4d26-9b43-34538b6162d8,1,study_plan,0.007188081741333008,2025-04-20T20:45:56.688088,True,,2025-04-20 20:45:56.688088
4261fa1e-b034-4e34-9ba8-7473a303c6ba,1,study_plan,0.007877111434936523,2025-04-20T20:47:52.103884,True,,2025-04-20 20:47:52.103884
589d0f63-60c7-49e5-9e6d-2785fae5d244,1,chat,10.634234189987183,2025-04-20T20:52:46.436495,True,,2025-04-20 20:52:46.436495
f6696eda-537c-4ef8-9033-5166faa1fd42,1,chat,10.070181846618652,2025-04-20T20:52:56.519410,True,,2025-04-20 20:52:56.519410
22a491bf-a37a-4cf7-bae7-9d139420b212,1,chat,14.190730094909668,2025-04-20T20:53:57.813448,True,,2025-04-20 20:53:57.813448
da7b0795-2e50-4bef-ada8-911962e1345a,1,chat,8.503325939178467,2025-04-20T20:54:06.343350,True,,2025-04-20 20:54:06.343350
51aba996-c40d-43c4-9797-ce359af73036,1,study_plan,65.43689489364624,2025-04-20T20:55:31.238737,True,,2025-04-20 20:55:31.238737
18538afb-38ee-4c69-b9c8-9a73be1797c3,1,study_plan,69.72563409805298,2025-04-20T20:56:41.013047,True,,2025-04-20 20:56:41.013047
fallback-1745175401039,1,chat,30.480586051940918,2025-04-20T20:57:11.531943,True,,2025-04-20 20:57:11.531943
fallback-1745175401039,1,chat,41.790894985198975,2025-04-20T20:57:53.325116,True,,2025-04-20 20:57:53.325116
fallback-1745175473345,1,chat,31.279495000839233,2025-04-20T20:58:24.632106,True,,2025-04-20 20:58:24.632106
fallback-1745175473345,1,chat,23.085345029830933,2025-04-20T20:58:47.718417,True,,2025-04-20 20:58:47.718417
fallback-1745175527789,1,chat,22.524911165237427,2025-04-20T20:59:10.316613,True,,2025-04-20 20:59:10.316613
fallback-1745175527789,1,chat,23.71621608734131,2025-04-20T20:59:34.033580,True,,2025-04-20 20:59:34.033580
fallback-1745175574058,1,chat,23.403033018112183,2025-04-20T20:59:57.480012,True,,2025-04-20 20:59:57.480012
fallback-1745175574058,1,chat,120.26997780799866,2025-04-20T21:01:57.750335,True,,2025-04-20 21:01:57.750335
fallback-1745175717765,1,chat,17.411225080490112,2025-04-20T21:02:15.178397,True,,2025-04-20 21:02:15.178397
fallback-1745175717765,1,chat,32.12566876411438,2025-04-20T21:02:47.304501,True,,2025-04-20 21:02:47.304501
fallback-1745175767319,1,chat,7.162478923797607,2025-04-20T21:02:54.488921,True,,2025-04-20 21:02:54.488921
fallback-1745175767319,1,chat,171.11821603775024,2025-04-20T21:05:45.607466,True,,2025-04-20 21:05:45.607466
fallback-1745175945634,1,chat,1856.5278499126434,2025-04-20T21:36:42.164875,True,,2025-04-20 21:36:42.164875
fallback-1745175945634,1,chat,95.55572891235352,2025-04-20T21:38:17.724175,True,,2025-04-20 21:38:17.724175
fallback-1745177897960,1,chat,95.28840684890747,2025-04-20T21:39:53.259637,True,,2025-04-20 21:39:53.259637
fallback-1745177897960,1,chat,29.96183133125305,2025-04-20T21:40:23.222780,True,,2025-04-20 21:40:23.222780
fallback-1745177897970,1,chat,23.940842866897583,2025-04-20T21:40:47.202860,True,,2025-04-20 21:40:47.202860
fallback-1745177897970,1,chat,20.321928024291992,2025-04-20T21:41:07.525899,True,,2025-04-20 21:41:07.525899
fallback-1745178067635,1,chat,24.631874799728394,2025-04-20T21:41:32.279054,True,,2025-04-20 21:41:32.279054
fallback-1745178067635,1,chat,22.222718000411987,2025-04-20T21:41:54.502930,True,,2025-04-20 21:41:54.502930
5d6ca6e6-afc4-40ee-a23f-7850c970b2cf,1,study_plan,69.1587929725647,2025-04-20T21:43:29.414960,True,,2025-04-20 21:43:29.414960
d35204ba-ac85-4f23-bb51-bb97d529095d,1,chat,38.29868292808533,2025-04-20T21:55:16.442188,True,,2025-04-20 21:55:16.442188
1d906c0d-5a41-42d7-9637-39f654adf66b,1,chat,25.942986011505127,2025-04-20T21:56:22.846094,True,,2025-04-20 21:56:22.846094
