doi,title,published_date,abstract,authors,journal,search_topic
10.1126/science.1199327,Retrieval Practice Produces More Learning than Elaborative Studying with Concept Mapping,2011-02-11,Two different ways of thinking through texts are compared for learning value.,"Karpicke, Jeffrey D.; Blunt, Janell R.",Science,retrieval practice
10.1007/s10648-021-09595-9,Retrieval Practice Consistently Benefits Student Learning: a Systematic Review of Applied Research in Schools and Classrooms,2021-03-14,,"Agarwal, Pooja K.; Nunes, Ludmila D.; Blunt, Janell R.",Educational Psychology Review,retrieval practice
10.3389/fpsyg.2016.00350,Retrieval-Based Learning: Positive Effects of Retrieval Practice in Elementary School Children,2016-03-11,,"Karpicke, Jeffrey D.; Blunt, Janell R.; Smith, Megan A.",Frontiers in Psychology,retrieval practice
10.2307/1422236,Judgments of Knowing: The Influence of Retrieval Practice,1980-06-01,,"King, Joseph F.; Zechmeister, Eugene B.; Shaughnessy, John J.",The American Journal of Psychology,retrieval practice
10.1117/12.47970,&lt;title&gt;Structured light: theory and practice and practice and practice...&lt;/title&gt;,1991-04-01,,"Keizer, Richard L.; Jun, Heesung; Dunn, Stanley M.",SPIE Proceedings,interleaved practice
10.1037/edu0000001,Interleaved practice improves mathematics learning.,2015-08-01,,"Rohrer, Doug; Dedrick, Robert F.; Stershic, Sandra",Journal of Educational Psychology,interleaved practice
10.1007/978-3-030-22009-9_302417,Title II Benefits,2021-01-01,,,Encyclopedia of Gerontology and Population Aging,interleaved practice
10.1016/j.neuroimage.2011.02.066,Brain–behavior correlates of optimizing learning through interleaved practice,2011-06-01,,"Lin, Chien-Ho (Janice); Knowlton, Barbara J.; Chiang, Ming-Chang; Iacoboni, Marco; Udompholkul, Parima; Wu, Allan D.",NeuroImage,interleaved practice
10.1007/s10648-022-09692-3,Growing Out of the Experience: How Subjective Experiences of Effort and Learning Influence the Use of Interleaved Practice,2022-07-20,"AbstractIn higher education, many students make poor learning strategy decisions. This, in part, results from the counterintuitive nature of effective learning strategies: they enhance long-term learning but also cost high initial effort and appear to not improve learning (immediately). This mixed-method study investigated how students make learning strategy decisions in category learning, and whether students can be supported to make effective strategy decisions through a metacognitive prompt, designed to support accurate monitoring of effort and learning. Participants (N = 150) studied painting styles through blocked and interleaved practice, rated their perceived effort and perceived learning across time, and chose between either blocked or interleaved practice. Half of the participants (N = 74) were provided with a metacognitive prompt that showed them how their subjective experiences per strategy changed across time and required them to relate these experiences to the efficacy of learning strategies. Results indicated that subjective experiences with interleaved practice improved across time: students’ perceived learning increased as their perceived effort decreased. Mediation analysis revealed that the increased feeling of learning increased the likelihood to select interleaved practice. The percentage of students who chose interleaved practice increased from 13 to 40%. Students’ learning strategy decisions, however, did not benefit from the metacognitive prompt. Qualitative results revealed that students initially had inaccurate beliefs about the efficacy of learning strategies, but on-task experiences overrode the influence of prior beliefs in learning strategy decisions. This study suggests that repeated monitoring of effort and learning have the potential to improve the use of interleaved practice.","Onan, Erdem; Wiradhany, Wisnu; Biwer, Felicitas; Janssen, Eva M.; de Bruin, Anique B. H.",Educational Psychology Review,interleaved practice
10.1016/j.learninstruc.2012.07.003,Interleaved practice in multi-dimensional learning tasks: Which dimension should we interleave?,2013-02-01,,"Rau, Martina A.; Aleven, Vincent; Rummel, Nikol",Learning and Instruction,interleaved practice
10.1007/s10648-020-09516-2,The Scarcity of Interleaved Practice in Mathematics Textbooks,2020-01-10,,"Rohrer, Doug; Dedrick, Robert F.; Hartwig, Marissa K.",Educational Psychology Review,interleaved practice
10.3758/s13421-021-01168-z,Interleaved practice benefits implicit sequence learning and transfer,2021-04-01,"AbstractCompared to blocked practice, interleaved practice of different tasks leads to superior long-term retention despite poorer initial acquisition performance. This phenomenon, the contextual interference effect, is well documented in various domains but it is not yet clear if it persists in the absence of explicit knowledge in terms of fine motor sequence learning. Additionally, while there is some evidence that interleaved practice leads to improved transfer of learning to similar actions, transfer of implicit motor sequence learning has not been explored. The present studies used a serial reaction time task where participants practiced three different eight-item sequences that were either interleaved or blocked on Day 1 (training) and Day 2 (testing). In Experiment 1, the retention of the three training sequences was tested on Day 2 and in Experiment 2, three novel sequences were performed on Day 2 to measure transfer. We assessed whether subjects were aware of the sequences to determine whether the benefit of interleaved practice extends to implicitly learned sequences. Even for participants who reported no awareness of the sequences, interleaving led to a benefit for both retention and transfer compared to participants who practiced blocked sequences. Those who trained with blocked sequences were left unprepared for interleaved sequences at test, while those who trained with interleaved sequences were unaffected by testing condition, revealing that learning resulting from blocked practice may be less flexible and more vulnerable to testing conditions. These results indicate that the benefit of interleaved practice extends to implicit motor sequence learning and transfer.","Schorn, Julia M.; Knowlton, Barbara J.",Memory &amp; Cognition,interleaved practice
10.1037/edu0000917,Interleaved practice in foreign language grammar learning: A field study.,2025-01-06,,"Schweppe, Judith; Lenk-Blochowitz, Annika; Pucher, Magdalena; Ketzer-Nöltge, Almut",Journal of Educational Psychology,interleaved practice
10.1038/s41539-021-00110-x,Interleaved practice enhances memory and problem-solving ability in undergraduate physics,2021-11-12,"AbstractWe investigated whether continuously alternating between topics during practice, or interleaved practice, improves memory and the ability to solve problems in undergraduate physics. Over 8 weeks, students in two lecture sections of a university-level introductory physics course completed thrice-weekly homework assignments, each containing problems that were interleaved (i.e., alternating topics) or conventionally arranged (i.e., one topic practiced at a time). On two surprise criterial tests containing novel and more challenging problems, students recalled more relevant information and more frequently produced correct solutions after having engaged in interleaved practice (with observed median improvements of 50% on test 1 and 125% on test 2). Despite benefiting more from interleaved practice, students tended to rate the technique as more difficult and incorrectly believed that they learned less from it. Thus, in a domain that entails considerable amounts of problem-solving, replacing conventionally arranged with interleaved homework can (despite perceptions to the contrary) foster longer lasting and more generalizable learning.","Samani, Joshua; Pan, Steven C.",npj Science of Learning,interleaved practice
10.1016/j.jarmac.2020.09.003,Desirable difficulties in theory and practice.,2020-12-01,,"Bjork, Robert A.; Bjork, Elizabeth L.",Journal of Applied Research in Memory and Cognition,desirable difficulties
10.1007/978-1-4613-0783-9_6,Making Things Harder for Yourself,1989-01-01,,"Snyder, Mel L.; Frankel, Arthur",Self-Defeating Behaviors,desirable difficulties
10.1007/s10648-023-09766-w,Worth the Effort: the Start and Stick to Desirable Difficulties (S2D2) Framework,2023-03-27,"Abstract
Desirable difficulties are learning conditions that are often experienced as effortful, but have a positive effect on learning results and transfer of knowledge and skills (Bjork & Bjork, 2011; Bjork, 1994). Learners often do not appreciate the beneficial effects of desirable difficulties, and the negative experiences of high effort and perceived low learning make them resistant to engage in desirable difficulties (Biwer et al., 2020a). This ultimately limits learning outcomes and academic achievement. With the increasing emphasis on self-regulation in education, characterized by higher learner agency and abundant choices in what, when, and how to study, the field of educational psychology is in need of theoretical and empirically testable assumptions that improve self-regulation in desirably difficult learning conditions with the aim to foster self-regulation abilities, learning outcomes, and academic achievement. Here, we present a framework that describes how to support self-regulation of effort when engaging in desirable difficulties: the “Start and Stick to Desirable Difficulties (S2D2)” framework. The framework builds on the Effort Monitoring and Regulation model (de Bruin et al., 2020). The aim of this framework is (1) to describe evidence for the central role of perceived effort and perceived learning in (dis)engagement in desirable difficulties, and (2) to review evidence on, and provide an agenda for research to improve learners’ self-regulated use of desirable difficulties to help them start and persist when learning feels tough, but is actually effective.","de Bruin, Anique B. H.; Biwer, Felicitas; Hui, Luotong; Onan, Erdem; David, Louise; Wiradhany, Wisnu",Educational Psychology Review,desirable difficulties
10.5406/amerjpsyc.128.2.0241,Desirable Difficulties in Vocabulary Learning,2015-07-01,"Abstract
               In this article we discuss the role of desirable difficulties in vocabulary learning from two perspectives, one having to do with identifying conditions of learning that impose initial challenges to the learner but then benefit later retention and transfer, and the other having to do with the role of certain difficulties that are intrinsic to language processes, are engaged during word learning, and reflect how language is understood and produced. from each perspective we discuss evidence that supports the notion that difficulties in learning and imposed costs to language processing may produce benefits because they are likely to increase conceptual understanding. We then consider the consequences of these processes for actual second- language learning and suggest that some of the domain- general cognitive advantages that have been reported for proficient bilinguals may reflect difficulties imposed by the learning process, and by the requirement to negotiate cross- language competition, that are broadly desirable. as alice Healy and her collaborators were perhaps the first to demonstrate, research on desirable difficulties in vocabulary and language learning holds the promise of bringing together research traditions on memory and language that have much to offer each other.","BJorK, Robert A.; Kroll, Judith F.",The American Journal of Psychology,desirable difficulties
10.1016/j.jarmac.2020.08.007,Motivational strategies to engage learners in desirable difficulties.,2020-12-01,,"Zepeda, Cristina D.; Martin, Rachel S.; Butler, Andrew C.",Journal of Applied Research in Memory and Cognition,desirable difficulties
10.1111/medu.14916,Desirable Difficulty: Theory and application of intentionally challenging learning,2022-08-21,"AbstractContextHealth professions trainees must acquire a vast amount of clinical knowledge and skills, and a deliberate instructional design approach is needed to provide trainees with effective learning strategies. One powerful yet counterintuitive strategy that facilitates long‐term learning is incorporating intentional difficulties during the learning process. Difficulties that require more effort from learners may impede short‐term learning but are ultimately beneficial for long‐term learning and are therefore termed Desirable Difficulties.ObjectivesIn this cross‐cutting edge paper, we describe the Desirable Difficulty effect from three theoretical perspectives originating in different fields, discuss common evidence‐based Desirable Difficulty strategies used in Health Professions Education and explore emerging research that could further optimise Desirable Difficulty‐enhanced learning for health professions trainees.MethodsWe synthesise theory and research from psychology, cognitive science and Health Professions Education literatures to further the understanding and application of Desirable Difficulties. We introduce three theoretical perspectives that provide a comprehensive overview of the theoretical underpinnings of the Desirable Difficulty effect: the New Theory of Disuse, the Challenge Point Framework and Cognitive Load Theory. We then illustrate how three common Desirable Difficulty strategies in medical education research—retrieval practice, spaced practice and interleaved practice—can be understood through these theoretical lenses. Finally, we provide relevant examples from the literature and explore emerging research in this area.ConclusionsThis paper summarises the theory and empirical research on Desirable Difficulties during the learning process, from explaining what they are and why they may be effective to how they have been applied in different contexts. We argue that providing educators and trainees with a comprehensive theoretical and applied understanding of Desirable Difficulty will promote deliberate instructional design decisions and lead to more effective learning.","Nelson, Adin; Eliasz, Kinga L.",Medical Education,desirable difficulties
10.1080/09658211.2020.1758726,Disfluent difficulties are not desirable difficulties: the (lack of) effect of Sans Forgetica on memory,2020-05-04,,"Taylor, Andrea; Sanson, Mevagh; Burnell, Ryan; Wade, Kimberley A.; Garry, Maryanne",Memory,desirable difficulties
10.58538/ijiar/2010,CLASSROOM MANAGEMENT: TEACHING LEARNING STRATEGIES,2023-02-28,,"Kaur, Amritpal; Singh, Mahabir",International Journal of Innovative and Applied Research,desirable difficulties
10.4324/9780203842539-18,1Chapter 3 Desirable Diculties and Studying in the Region of Proximal Learning,2011-01-07,,,Successful Remembering and Successful Forgetting,desirable difficulties
10.4324/9780203842539-17,1Chapter 2 Can Desirable Diculties Overcome Deceptive Clarity in Scientic Visualizations?,2011-01-07,,,Successful Remembering and Successful Forgetting,desirable difficulties
10.1007/s11412-018-9277-y,From Cognitive Load Theory to Collaborative Cognitive Load Theory,2018-04-25,,"Kirschner, Paul A.; Sweller, John; Kirschner, Femke; Zambrano R., Jimmy",International Journal of Computer-Supported Collaborative Learning,cognitive load theory
10.1159/000022612,Sociocultural Contexts ofCognitive Theory,1999-01-01,,"Kozulin, Alex",Human Development,cognitive load theory
10.1016/s0959-4752(01)00021-4,Managing cognitive load—recent trends in cognitive load theory,2002-02-01,,"Bannert, Maria",Learning and Instruction,cognitive load theory
10.1207/s1532690xci0804_5,Evidence for Cognitive Load Theory,1991-12-01,,"Sweller, John; Chandler, Paul",Cognition and Instruction,cognitive load theory
10.1007/s11423-019-09701-3,Cognitive load theory and educational technology,2019-08-01,,"Sweller, John",Educational Technology Research and Development,cognitive load theory
10.1016/s0959-4752(01)00014-7,Cognitive load theory: implications of cognitive load theory on the design of learning,2002-02-01,,"Kirschner, Paul A.",Learning and Instruction,cognitive load theory
10.1002/acp.2882,Cognitive Load Theory: New Directions and Challenges,2012-11-01,"SummaryThis special issue on cognitive load theory is a collection of eight papers that report either on contemporary challenges to the theory that may lead to new research directions or on new research directions that pose new challenges to the theory. The contemporary challenges relate to the timing and frequency of cognitive load measurement, the design of instructional animations, and the use of eye tracking to uncover learners' cognitive processes. The new research directions relate to fostering learning by directing novices to use primary knowledge, instructing novices to self‐manage their cognitive load, and considering learners' affective responses to different configurations of simple and complex tasks. We hope that the findings of these studies will instigate other researchers to pursue new research directions and meet its challenges. Copyright © 2012 John Wiley & Sons, Ltd.","Ayres, Paul; Paas, Fred",Applied Cognitive Psychology,cognitive load theory
10.1007/s10648-019-09474-4,Special Issue on Cognitive Load Theory: Editorial,2019-02-02,,"Ginns, Paul; Leppink, Jimmie",Educational Psychology Review,cognitive load theory
10.20429/ijsotl.2017.110202,Title: Learning styles terminology: What is the researcher talking about?,2017-07-20,,"Lake, Warren W.; Boyd, William; Boyd, Wendy",International Journal for the Scholarship of Teaching and Learning,learning styles
10.1080/00380237.1976.10570915,Category/Continuum Thought Styles and Survey Research,1976-01-01,,"Tittle, Charles R.; Villemez, Wayne J.",Sociological Focus,learning styles
10.1111/j.1365-2923.2012.04273.x,Learning styles: where’s the evidence?,2012-06-12,,"Rohrer, Doug; Pashler, Harold",Medical Education,learning styles
10.59962/9780774839099-004,Designing Lessons andLearning Activities,2022-02-15,,,The Successful TA,learning styles
10.1117/12.150577,&lt;title&gt;Learning tree: a new concept in learning&lt;/title&gt;,1993-09-01,,"Landelius, Tomas; Knutsson, Hans",SPIE Proceedings,learning styles
10.1002/ace.36719956705,Learning styles: Implications for distance learning,1995-09-01,AbstractA review of learning styles and their implications for distance learning.,"James, Waynne Blue; Gardner, Daniel L.",New Directions for Adult and Continuing Education,learning styles
10.1117/12.934445,&lt;title&gt;Generalized Dispersion Relation For Optical Constants&lt;/title&gt;,1983-06-16,,"Peiponen, K.-E.",SPIE Proceedings,learning styles
10.1177/1048395019879966a,The Myth of Learning Styles,2019-10-16,,"Westby, Carol",Word of Mouth,learning styles
